"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"02.10.2017","4.400,1","4.404,3","4.482,0","4.359,8","29,08K","-0,10%"
"03.10.2017","4.311,1","4.399,3","4.439,9","4.222,0","28,54K","-2,02%"
"04.10.2017","4.215,1","4.310,6","4.353,8","4.177,7","26,37K","-2,23%"
"05.10.2017","4.315,4","4.215,9","4.364,6","4.134,9","25,36K","2,38%"
"06.10.2017","4.371,0","4.312,6","4.424,5","4.294,0","25,94K","1,29%"
"07.10.2017","4.436,0","4.370,0","4.477,1","4.316,1","17,41K","1,49%"
"08.10.2017","4.613,1","4.435,9","4.630,0","4.417,6","29,86K","3,99%"
"09.10.2017","4.782,3","4.612,4","4.874,9","4.551,3","48,93K","3,67%"
"10.10.2017","4.777,0","4.782,3","4.940,0","4.717,5","42,68K","-0,11%"
"11.10.2017","4.824,9","4.777,7","4.879,5","4.715,0","28,92K","1,00%"
"12.10.2017","5.428,5","4.824,9","5.437,6","4.815,1","79,26K","12,51%"
"13.10.2017","5.636,8","5.440,0","5.874,3","5.376,0","99,15K","3,84%"
"14.10.2017","5.835,0","5.636,8","5.854,3","5.567,3","36,81K","3,52%"
"15.10.2017","5.698,6","5.838,7","5.876,9","5.450,0","57,34K","-2,34%"
"16.10.2017","5.764,4","5.712,2","5.803,2","5.570,4","31,41K","1,15%"
"17.10.2017","5.597,1","5.764,8","5.779,0","5.511,0","31,91K","-2,90%"
"18.10.2017","5.565,0","5.597,7","5.597,9","5.114,3","69,04K","-0,57%"
"19.10.2017","5.694,0","5.574,8","5.741,0","5.505,8","38,04K","2,32%"
"20.10.2017","5.984,5","5.694,0","6.082,2","5.606,4","61,78K","5,10%"
"21.10.2017","6.005,1","5.984,9","6.190,0","5.873,6","53,52K","0,34%"
"22.10.2017","5.980,5","6.005,1","6.069,6","5.717,9","50,58K","-0,41%"
"23.10.2017","5.906,9","5.980,5","6.051,0","5.639,8","67,06K","-1,23%"
"24.10.2017","5.509,5","5.902,5","5.902,5","5.457,5","64,03K","-6,73%"
"25.10.2017","5.720,0","5.509,9","5.743,9","5.367,9","44,80K","3,82%"
"26.10.2017","5.890,0","5.724,2","5.966,6","5.680,5","42,72K","2,97%"
"27.10.2017","5.759,6","5.890,0","6.010,2","5.681,2","39,71K","-2,21%"
"28.10.2017","5.720,6","5.759,8","5.863,9","5.634,7","26,66K","-0,68%"
"29.10.2017","6.156,0","5.718,1","6.330,0","5.662,9","61,92K","7,61%"
"30.10.2017","6.125,3","6.146,0","6.237,2","6.010,0","33,26K","-0,50%"
"31.10.2017","6.458,3","6.129,9","6.472,1","6.082,7","38,76K","5,44%"
"01.11.2017","6.727,3","6.450,2","6.727,3","6.348,0","57,13K","4,17%"
"02.11.2017","7.019,9","6.735,0","7.315,1","6.724,5","97,45K","4,35%"
"03.11.2017","7.278,4","7.018,9","7.447,5","6.926,5","64,15K","3,68%"
"04.11.2017","7.369,0","7.104,0","7.521,1","6.936,5","48,62K","1,24%"
"05.11.2017","7.382,0","7.370,9","7.595,0","7.272,0","46,29K","0,18%"
"06.11.2017","6.955,0","7.355,1","7.429,5","6.915,1","63,27K","-5,78%"
"07.11.2017","7.103,3","6.959,6","7.214,4","6.959,0","37,54K","2,13%"
"08.11.2017","7.442,4","7.102,0","7.895,0","7.029,9","97,30K","4,77%"
"09.11.2017","7.126,2","7.447,0","7.447,0","7.017,6","50,14K","-4,25%"
"10.11.2017","6.542,2","7.123,3","7.313,1","6.405,2","88,43K","-8,20%"
"11.11.2017","6.300,7","6.541,2","6.788,0","6.166,0","72,84K","-3,69%"
"12.11.2017","5.822,1","6.282,4","6.465,0","5.426,0","172,69K","-7,60%"
"13.11.2017","6.474,6","5.806,5","6.680,0","5.786,1","110,44K","11,21%"
"14.11.2017","6.579,2","6.476,5","6.687,8","6.315,4","49,52K","1,62%"
"15.11.2017","7.278,3","6.589,9","7.310,2","6.589,9","71,61K","10,63%"
"16.11.2017","7.864,2","7.273,7","8.012,9","7.099,9","85,88K","8,05%"
"17.11.2017","7.677,9","7.865,0","8.029,8","7.511,1","75,95K","-2,37%"
"18.11.2017","7.773,3","7.674,1","7.867,0","7.419,5","40,70K","1,24%"
"19.11.2017","8.054,2","7.770,6","8.126,9","7.652,0","39,13K","3,61%"
"20.11.2017","8.245,1","8.052,8","8.310,2","7.943,4","38,28K","2,37%"
"21.11.2017","8.097,3","8.245,1","8.380,0","7.790,0","71,85K","-1,79%"
"22.11.2017","8.230,1","8.097,3","8.310,0","8.064,3","28,86K","1,64%"
"23.11.2017","7.977,1","8.230,0","8.267,6","7.977,1","32,10K","-3,07%"
"24.11.2017","8.191,6","7.977,0","8.350,7","7.873,0","42,85K","2,69%"
"25.11.2017","8.766,2","8.191,6","8.770,0","8.132,9","44,25K","7,01%"
"26.11.2017","9.316,0","8.791,0","9.495,0","8.769,2","67,57K","6,27%"
"27.11.2017","9.728,8","9.303,9","9.760,7","9.268,9","66,66K","4,43%"
"28.11.2017","9.898,0","9.727,1","9.977,8","9.608,3","47,11K","1,74%"
"29.11.2017","9.749,4","9.891,9","11.427,2","9.001,1","182,74K","-1,50%"
"30.11.2017","9.907,0","9.771,9","10.540,0","8.821,0","129,07K","1,62%"
"01.12.2017","10.869,0","9.907,0","10.949,0","9.370,1","84,14K","9,71%"
"02.12.2017","10.881,0","10.852,0","11.187,0","10.627,0","49,71K","0,11%"
"03.12.2017","11.157,0","10.880,0","11.842,0","10.299,0","93,06K","2,54%"
"04.12.2017","11.595,0","11.162,0","11.598,0","10.788,0","63,74K","3,93%"
"05.12.2017","11.595,0","11.611,0","11.949,0","11.414,0","48,94K","0,00%"
"06.12.2017","13.527,0","11.590,0","13.598,0","11.590,0","83,59K","16,66%"
"07.12.2017","16.601,0","13.500,0","16.639,0","13.154,0","141,26K","22,72%"
"08.12.2017","15.869,0","16.608,0","17.160,0","13.774,0","124,11K","-4,41%"
"09.12.2017","14.660,0","15.829,0","16.300,0","13.021,0","77,82K","-7,62%"
"10.12.2017","14.997,0","14.660,0","15.728,0","12.748,0","107,05K","2,30%"
"11.12.2017","16.754,0","14.937,0","17.443,0","14.937,0","78,09K","11,72%"
"12.12.2017","16.967,0","16.754,0","17.500,0","16.234,0","52,09K","1,27%"
"13.12.2017","16.181,0","17.010,0","17.288,0","15.674,0","62,88K","-4,63%"
"14.12.2017","16.383,0","16.122,0","16.999,0","15.870,0","45,72K","1,25%"
"15.12.2017","17.522,0","16.396,0","18.098,0","16.352,0","63,11K","6,95%"
"16.12.2017","19.187,0","17.569,5","19.548,0","17.098,0","48,27K","9,50%"
"17.12.2017","18.971,0","19.210,0","19.891,0","18.622,0","51,80K","-1,13%"
"18.12.2017","18.934,0","18.959,0","19.171,0","18.010,0","53,58K","-0,20%"
"19.12.2017","17.345,0","18.931,0","18.987,0","16.500,0","66,65K","-8,39%"
"20.12.2017","16.425,0","17.340,0","17.709,0","15.500,0","82,16K","-5,30%"
"21.12.2017","15.666,8","16.433,0","17.333,0","14.827,0","65,58K","-4,62%"
"22.12.2017","13.170,0","15.650,0","15.826,0","10.718,0","179,00K","-15,94%"
"23.12.2017","14.035,0","13.173,0","14.986,0","12.755,0","59,92K","6,57%"
